Time,Temperature(C),RH,UV Index,Pressure(mbar),Image URL,,,,,
"February 12, 2016 at 05:06PM",-0.6,26,1280,656,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJetnZY=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/1.jpg,,,,
"February 13, 2016 at 07:53AM",-7.43,78,1273,659,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qqmJGmmJk=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/2.jpg,,,,
"February 13, 2016 at 05:07PM",-2.21,30,1324,658,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qqm5Slmp4=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/3.jpg,,,,
"February 14, 2016 at 05:05PM",1.25,10,1542,658,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qrmZqrnJk=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/4.jpg,,,,
"February 16, 2016 at 07:54AM",-6.06,35,1277,665,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qsnZqompk=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/5.jpg,,,,
"February 16, 2016 at 05:04PM",0.74,16,1308,663,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qtl5OonpY=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/6.jpg,,,,
"February 18, 2016 at 05:07PM",7.56,4,1488,665,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qunpaompk=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/7.jpg,,,,
"February 19, 2016 at 07:56AM",-4.87,20,1307,669,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qvmZmrmp4=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/8.jpg,,,,
"February 19, 2016 at 05:06PM",0,62,1285,666,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qvnZKrmp4=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/9.jpg,,,,
"February 20, 2016 at 05:02PM",2.69,38,1485,662,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qwm5isoJ0=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/10.jpg,,,,
