Time,Temperature(C),RH,UV Index,Pressure(mbar),Precipitation,Image URL,,,,,
"February 11, 2016 at 07:34PM",-3.91,55,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 07:39PM",-3.97,55,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 07:44PM",-4.07,56,1248,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 07:49PM",-4.09,56,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 07:54PM",-4.15,55,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 07:59PM",-4.15,54,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:04PM",-4.13,52,1250,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:09PM",-4.14,52,1249,653,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:14PM",-4.06,53,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:19PM",-4.03,53,1250,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:29PM",-4.09,54,1248,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:34PM",-4.12,53,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:39PM",-4.15,53,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:44PM",-4.23,57,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:49PM",-4.29,56,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 08:54PM",-4.35,56,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 09:00PM",-4.41,56,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 09:05PM",-4.48,57,1250,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 09:10PM",-4.5,57,1250,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 09:15PM",-4.55,58,1248,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 09:20PM",-4.6,58,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 09:25PM",-4.62,58,1249,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 09:30PM",-4.62,57,1250,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 11, 2016 at 09:35PM",-4.55,57,1250,654,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
