time,temp,rh,uv,pressure
2016-02-11 19:34:00,-3.91,55,1249,654.0
2016-02-11 19:39:00,-3.97,55,1249,654.0
2016-02-11 19:44:00,-4.07,56,1248,654.0
2016-02-11 19:49:00,-4.09,56,1249,654.0
2016-02-11 19:54:00,-4.15,55,1249,654.0
2016-02-11 19:59:00,-4.15,54,1249,654.0
2016-02-11 20:04:00,-4.13,52,1250,654.0
2016-02-11 20:09:00,-4.14,52,1249,653.0
2016-02-11 20:14:00,-4.06,53,1249,654.0
2016-02-11 20:19:00,-4.03,53,1250,654.0
2016-02-11 20:29:00,-4.09,54,1248,654.0
2016-02-11 20:34:00,-4.12,53,1249,654.0
2016-02-11 20:39:00,-4.15,53,1249,654.0
2016-02-11 20:44:00,-4.23,57,1249,654.0
2016-02-11 20:49:00,-4.29,56,1249,654.0
2016-02-11 20:54:00,-4.35,56,1249,654.0
2016-02-11 21:00:00,-4.41,56,1249,654.0
2016-02-11 21:05:00,-4.48,57,1250,654.0
2016-02-11 21:10:00,-4.5,57,1250,654.0
2016-02-11 21:15:00,-4.55,58,1248,654.0
2016-02-11 21:20:00,-4.6,58,1249,654.0
2016-02-11 21:25:00,-4.62,58,1249,654.0
2016-02-11 21:30:00,-4.62,57,1250,654.0
2016-02-11 21:35:00,-4.55,57,1250,654.0
2016-02-11 21:40:00,-4.55,58,1249,654.0
2016-02-11 21:45:00,-4.57,58,1249,655.0
2016-02-11 21:50:00,-4.59,59,1249,655.0
2016-02-11 21:55:00,-4.61,59,1249,655.0
2016-02-11 22:00:00,-4.67,59,1251,655.0
2016-02-11 22:05:00,-4.74,59,1249,655.0
2016-02-11 22:10:00,-4.76,58,1249,655.0
2016-02-11 22:15:00,-4.79,58,1249,655.0
2016-02-11 22:20:00,-4.88,59,1247,655.0
2016-02-11 22:30:00,-4.95,59,1251,655.0
2016-02-11 22:35:00,-5.0,59,1248,655.0
2016-02-11 22:40:00,-5.03,60,1250,655.0
2016-02-11 22:45:00,-5.03,60,1250,655.0
2016-02-11 22:50:00,-5.1,62,1249,655.0
2016-02-11 22:55:00,-5.17,61,1250,655.0
2016-02-11 23:00:00,-5.23,61,1250,655.0
2016-02-11 23:05:00,-5.34,59,1251,655.0
2016-02-11 23:10:00,-5.41,60,1249,655.0
2016-02-11 23:15:00,-5.47,59,1250,655.0
2016-02-11 23:20:00,-5.53,61,1249,655.0
2016-02-11 23:25:00,-5.52,61,1251,655.0
2016-02-11 23:30:00,-5.55,62,1249,655.0
2016-02-12 14:08:00,0.78,30,1551,657.0
2016-02-12 14:23:00,1.13,31,1541,657.0
2016-02-12 14:28:00,0.93,32,1621,657.0
2016-02-12 14:39:00,0.71,34,1584,657.0
2016-02-12 14:43:00,0.7,34,1458,657.0
2016-02-12 14:48:00,0.39,33,1499,657.0
2016-02-12 14:48:00,0.95,34,1643,657.0
2016-02-12 14:53:00,0.69,30,1457,657.0
2016-02-12 14:58:00,0.73,28,1451,656.0
2016-02-12 15:08:00,0.71,31,1423,656.0
2016-02-12 15:08:00,0.51,31,1454,656.0
2016-02-12 15:13:00,0.52,29,1440,656.0
2016-02-12 15:18:00,0.55,29,1507,656.0
2016-02-12 15:23:00,0.49,31,1417,656.0
2016-02-12 15:28:00,0.38,29,1411,656.0
2016-02-12 15:37:00,0.61,27,1408,656.0
2016-02-12 15:42:00,0.63,26,1390,656.0
2016-02-12 15:47:00,0.44,24,1402,656.0
2016-02-12 15:52:00,0.42,21,1395,656.0
2016-02-12 16:02:00,0.13,23,1352,656.0
2016-02-12 16:26:00,-0.29,23,1307,656.0
2016-02-12 16:26:00,-0.62,26,1318,656.0
2016-02-12 16:36:00,-0.3,23,1310,656.0
2016-02-12 16:36:00,-0.45,24,1290,656.0
2016-02-12 16:52:00,-0.37,23,1304,656.0
2016-02-12 17:01:00,-0.37,23,1271,656.0
2016-02-12 17:01:00,-0.31,23,1271,656.0
2016-02-12 17:06:00,-0.6,26,1280,656.0
2016-02-12 17:11:00,-0.81,26,1278,656.0
2016-02-12 17:16:00,-0.85,25,1272,656.0
2016-02-12 17:21:00,-0.94,25,1271,656.0
2016-02-12 17:26:00,-0.93,25,1270,656.0
2016-02-12 17:34:00,-0.87,23,1267,656.0
2016-02-12 17:34:00,-0.95,25,1265,656.0
2016-02-12 17:40:00,-1.15,25,1260,656.0
2016-02-12 18:07:00,-1.53,24,1249,656.0
2016-02-12 18:07:00,-1.47,24,1251,656.0
2016-02-12 18:10:00,-1.59,24,1249,656.0
2016-02-12 18:10:00,-1.37,23,1254,656.0
2016-02-12 18:23:00,-1.59,24,1248,656.0
2016-02-12 18:26:00,-1.55,24,1247,656.0
2016-02-12 18:23:00,-1.62,25,1248,656.0
2016-02-12 18:26:00,-1.7,23,1247,656.0
2016-02-12 18:29:00,-1.74,22,1249,657.0
2016-02-12 18:36:00,-1.7,22,1247,657.0
2016-02-12 18:43:00,-1.89,24,1249,657.0
2016-02-12 18:48:00,-1.85,23,1249,657.0
2016-02-12 18:53:00,-1.89,22,1246,657.0
2016-02-12 18:58:00,-2.01,24,1247,657.0
2016-02-12 19:03:00,-2.07,24,1249,657.0
2016-02-12 19:08:00,-2.02,22,1248,657.0
2016-02-12 19:13:00,-2.01,21,1248,657.0
2016-02-12 19:18:00,-2.11,23,1247,657.0
2016-02-12 19:23:00,-2.21,23,1248,657.0
2016-02-12 19:28:00,-2.24,23,1249,657.0
2016-02-12 19:33:00,-2.3,24,1247,657.0
2016-02-12 19:39:00,-2.41,25,1247,657.0
2016-02-12 19:44:00,-2.39,24,1249,657.0
2016-02-12 19:49:00,-2.5,23,1249,657.0
2016-02-12 19:54:00,-2.5,23,1249,657.0
2016-02-12 19:59:00,-2.49,23,1249,657.0
2016-02-12 20:04:00,-2.5,25,1247,657.0
2016-02-12 20:09:00,-2.49,23,1247,657.0
2016-02-12 20:14:00,-2.5,24,1248,657.0
2016-02-12 20:19:00,-2.57,25,1248,657.0
2016-02-12 20:24:00,-2.66,26,1248,657.0
2016-02-12 20:29:00,-2.7,23,1249,657.0
2016-02-12 20:34:00,-2.72,23,1249,657.0
2016-02-12 20:39:00,-2.76,23,1247,657.0
2016-02-12 20:49:00,-2.86,26,1250,657.0
2016-02-12 20:54:00,-2.89,27,1249,657.0
2016-02-12 20:59:00,-2.92,25,1248,657.0
2016-02-12 21:04:00,-2.95,25,1249,657.0
2016-02-12 21:09:00,-2.99,26,1249,657.0
2016-02-12 21:14:00,-2.98,26,1249,657.0
2016-02-12 21:19:00,-3.05,26,1249,657.0
2016-02-12 21:25:00,-3.08,27,1250,657.0
2016-02-12 21:29:00,-3.2,29,1247,657.0
2016-02-12 21:34:00,-3.29,30,1249,657.0
2016-02-12 21:39:00,-3.31,29,1247,657.0
2016-02-12 21:44:00,-3.28,27,1247,657.0
2016-02-12 21:49:00,-3.31,28,1249,657.0
2016-02-12 21:55:00,-3.34,28,1248,657.0
2016-02-12 22:00:00,-3.41,29,1249,657.0
2016-02-12 22:05:00,-3.41,29,1248,657.0
2016-02-12 22:10:00,-3.43,31,1250,657.0
2016-02-12 22:15:00,-3.43,27,1249,657.0
2016-02-12 22:20:00,-3.42,26,1250,657.0
2016-02-12 22:25:00,-3.45,27,1249,657.0
2016-02-12 22:30:00,-3.44,26,1250,657.0
2016-02-12 22:35:00,-3.37,24,1249,657.0
2016-02-12 22:40:00,-3.38,25,1248,657.0
2016-02-12 22:45:00,-3.48,26,1249,657.0
2016-02-12 22:50:00,-3.46,25,1249,657.0
2016-02-12 22:55:00,-3.48,28,1248,657.0
2016-02-12 23:00:00,-3.56,28,1250,657.0
2016-02-12 23:05:00,-3.53,26,1250,657.0
2016-02-12 23:10:00,-3.5,26,1250,657.0
2016-02-12 23:15:00,-3.57,27,1249,657.0
2016-02-12 23:25:00,-3.64,28,1249,657.0
2016-02-12 23:30:00,-3.71,30,1249,657.0
2016-02-12 23:35:00,-3.72,28,1249,657.0
2016-02-12 23:40:00,-3.82,29,1249,657.0
2016-02-12 23:45:00,-3.83,30,1250,657.0
2016-02-12 23:50:00,-3.83,29,1247,657.0
2016-02-12 23:55:00,-3.87,28,1247,657.0
2016-02-13 00:00:00,-3.86,31,1249,657.0
2016-02-13 00:05:00,-3.86,30,1249,657.0
2016-02-13 00:10:00,-3.91,29,1250,657.0
2016-02-13 00:16:00,-3.91,30,1249,657.0
2016-02-13 00:21:00,-3.96,31,1248,657.0
2016-02-13 00:26:00,-3.99,31,1248,657.0
2016-02-13 00:31:00,-3.98,28,1249,657.0
2016-02-13 00:36:00,-3.99,27,1249,657.0
2016-02-13 00:41:00,-4.0,28,1249,657.0
2016-02-13 00:46:00,-3.99,28,1249,657.0
2016-02-13 00:51:00,-4.06,30,1249,657.0
2016-02-13 00:56:00,-4.11,30,1249,657.0
2016-02-13 01:01:00,-4.12,31,1248,657.0
2016-02-13 01:06:00,-4.16,31,1248,657.0
2016-02-13 01:11:00,-4.16,30,1249,657.0
2016-02-13 01:16:00,-4.22,31,1247,657.0
2016-02-13 01:21:00,-4.22,30,1246,657.0
2016-02-13 01:26:00,-4.27,29,1248,657.0
2016-02-13 01:31:00,-4.27,30,1250,657.0
2016-02-13 01:36:00,-4.29,32,1249,657.0
2016-02-13 01:41:00,-4.4,31,1250,657.0
2016-02-13 01:46:00,-4.62,30,1249,657.0
2016-02-13 01:51:00,-4.68,30,1247,657.0
2016-02-13 01:56:00,-4.68,30,1248,657.0
2016-02-13 02:01:00,-4.65,30,1250,657.0
2016-02-13 02:06:00,-4.62,32,1249,657.0
2016-02-13 02:11:00,-4.63,36,1250,657.0
2016-02-13 02:16:00,-4.66,36,1249,657.0
2016-02-13 02:21:00,-4.72,37,1250,657.0
2016-02-13 02:26:00,-4.78,38,1249,657.0
2016-02-13 02:31:00,-4.85,39,1248,657.0
2016-02-13 02:37:00,-4.97,42,1249,657.0
2016-02-13 02:42:00,-5.1,44,1250,657.0
2016-02-13 02:47:00,-5.18,45,1249,657.0
2016-02-13 02:52:00,-5.29,46,1250,657.0
2016-02-13 02:57:00,-5.34,46,1250,657.0
2016-02-13 03:02:00,-5.36,47,1249,657.0
2016-02-13 03:07:00,-5.52,49,1249,657.0
2016-02-13 03:12:00,-5.62,49,1250,657.0
2016-02-13 03:17:00,-5.63,50,1250,657.0
2016-02-13 03:22:00,-5.7,51,1251,657.0
2016-02-13 03:27:00,-5.79,51,1249,657.0
2016-02-13 03:32:00,-5.81,52,1251,657.0
2016-02-13 03:37:00,-5.85,53,1250,657.0
2016-02-13 03:42:00,-5.93,52,1249,657.0
2016-02-13 03:47:00,-6.03,53,1249,657.0
2016-02-13 03:52:00,-6.07,54,1250,657.0
2016-02-13 03:57:00,-6.09,54,1249,657.0
2016-02-13 04:02:00,-6.18,54,1251,657.0
2016-02-13 04:07:00,-6.2,54,1250,657.0
2016-02-13 04:12:00,-6.29,54,1250,657.0
2016-02-13 04:17:00,-6.38,56,1250,657.0
2016-02-13 04:22:00,-6.4,56,1251,657.0
